,id,id_number,age,gender,education,status,start years,year_experience,crops,size_rai, yield (kg/rai) , yield (ton) , mkt_price (THB/ton) ,soil_quality,annual_income, cost (THB/ton) ,annual_expense,profit_loss,existing_loan, Saving/year ,loan_status,issue_date,addr_subdist,addr_district,addr_province,zip_code,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8,temp_9,temp_10,temp_11,temp_12,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,rain_7,rain_8,rain_9,rain_10,rain_11,rain_12,credit_score,credit_utilization,credit_inquiry
11,7.1E+12,937,59,Male,Primary School,Married,30,29,sugar cane,30.95,"10,300.80",318.78,"1,015.14",N,"323,609.20","1,004.00","320,058.90","3,550.29","398,419.00","138,898.00",Fully Paid,28/12/2023,??????????????,??????????????,?????????,71260,25.1,25.8,26,26.5,26.8,27.1,27.8,28.6,29.8,28.9,27.3,25.4,96.6,51.5,83.3,87.6,193.3,74.9,85.5,134.3,50.5,93.2,50.1,195.3,,,
12,7.1E+12,195,34,Male,Secondary School,Never Married,24,10,sugar cane,48.78,"10,730.00",523.38,750.63,S3,"392,865.49","1,114.00","583,047.92","-190,182.43","281,773.00","154,266.00",Charged Off,14/07/2023,???????,???????,?????????,71210,15.1,21.2,30.8,29.4,29.8,15.3,17.2,19.8,23.9,29.7,31.2,27.5,183.8,88,193.1,56.8,90.2,82.5,114.4,73.2,176.2,74.2,107.6,139.6,,,
13,7.1E+12,194,34,Male,Primary School,Married,19,15,sugar cane,102,"10,730.00","1,094.46","1,143.32",S2,"1,251,320.27","1,098.00","1,201,717.15","49,603.12","307,767.00","160,426.00",Current,10/07/2023,???????,??????????????,?????????,71000,30.5,17,27.2,24.5,29.4,34.8,17.9,21.3,34.4,21.1,23.4,23,160.3,59.5,197.8,79.8,161,179.3,195.3,134.9,166.1,144.6,164.9,193.2,,,
14,4.6E+12,634,40,Male,Secondary School,Married,27,13,cassava,61,"3,114.00",189.95,"2,077.65",S2,"394,658.31","1,862.00","353,694.35","40,963.96","130,879.00","57,088.00",Fully Paid,08/06/2023,???????,???????,?????????,46130,32.2,16.7,34,33.9,29.3,28.6,28.4,18.9,22.8,21.2,24.8,26.3,154.9,70,116.2,182.2,150.1,118.2,173.8,127.8,157.6,129.1,83.9,167.8,,,
15,4.6E+12,628,46,Male,Primary School,Married,29,17,rice,64.85,372.54,24.16,"10,619.02",S3,"256,562.63","7,602.51","183,681.83","72,880.80","154,172.00","51,311.00",Fully Paid,14/01/2023,??????,???????????,?????????,46110,32.2,26.2,19.7,34.8,25.9,17.3,25.9,18.6,33.5,26.6,29.2,23.6,157.3,128.7,156.3,189.4,95.4,73.1,58.8,164.3,198.1,177.1,168.7,89.5,,,
16,4.6E+12,1140,65,Male,Secondary School,Separated,21,44,rice,81.48,372.54,30.36,"6,544.90",S3,"198,676.83","8,296.49","251,847.83","-53,171.00","133,502.00","50,342.00",Current,17/08/2023,??????????????,?????,?????????,46160,22.3,27.5,16.7,26.4,26.6,25.2,32.5,27.2,18.1,31.7,21.2,25.2,140.4,162.6,56.6,150.1,136.6,96.8,80,123,79.3,164.1,136.8,61.7,,,
17,4.6E+12,630,64,Male,Secondary School,Divorced,43,21,rice,41.26,372.54,15.37,"10,634.08",S2,"163,471.22","7,492.77","115,181.70","48,289.52","146,801.00","52,976.00",Fully Paid,16/01/2023,?????,????????,?????????,46190,34.1,19.6,28.2,24.2,24.6,20.7,21.3,27.8,32.3,31.7,15.6,31.3,131.7,100,181.9,169.7,75.5,88.7,143.4,198.8,81.1,61.6,93.3,182.1,,,
18,4.6E+12,626,37,Male,Primary School,Married,27,10,rice,84,372.54,31.29,"5,115.26",S1,"160,073.81","11,406.96","356,962.28","-196,888.47","149,980.00","58,530.00",Charged Off,15/07/2023,???????,???????,?????????,46130,33,19.8,19.9,16.4,21.6,29.5,24.3,30,30.8,20.4,27,23.1,194.3,141.1,167.5,148.5,195,126.2,74.3,156.8,76.3,54.9,148.6,179.8,,,
19,4.6E+12,1740,48,Male,Secondary School,Divorced,18,30,rice,77,372.54,28.69,"8,956.74",N,"256,929.37","5,000.00","143,428.00","113,501.37","135,710.00","54,598.00",Fully Paid,27/10/2023,????,????,?????????,46160,19.7,21.5,26.4,28.5,33.4,24.1,19.1,26.3,18.5,29.1,31.7,27.8,87.3,121.6,127.8,66,112.2,119.2,90.9,64.1,72.9,91,173.1,94.9,,,
20,4.6E+12,9786,73,Male,Primary School,Married,30,43,rice,122,372.54,45.45,"9,959.33",N,"452,650.75","7,322.32","332,798.79","119,851.96","140,385.00","49,303.00",Fully Paid,01/03/2023,????,????,?????????,46230,30.5,16.6,20.6,33.3,19.8,24.9,27.7,19.4,31.1,18.1,30.7,17.3,136.4,92.6,59.9,147.6,103.3,194.8,156.4,106.6,185.8,161.9,150.2,68.3,,,
21,4.6E+12,1821,43,Male,Secondary School,Married,20,23,rice,150,372.54,55.88,"9,838.10",N,"549,763.40","5,499.30","307,306.37","242,457.04","142,583.00","48,788.00",Fully Paid,29/03/2024,????????????,????????,?????????,46240,15.6,23.1,15.9,27.3,21.7,15,22.6,17.7,29.2,31.9,25.1,17.3,138.8,85.8,120.9,174.1,56.6,169.5,86,75.1,154.2,124.4,117.8,170.9,,,
22,4.6E+12,14538,53,Male,Primary School,Divorced,33,20,rice,128,372.54,47.69,"9,249.83",N,"441,079.45","8,460.51","403,440.66","37,638.80","146,806.00","54,949.00",Fully Paid,27/03/2023,??????,??????????????,?????????,46000,15.9,18.4,23.3,27.5,29.9,15.6,30.7,20,33.1,32.2,20.7,18.5,135.8,127.2,115.7,152.7,77.6,133.8,180.7,86.3,160.5,53.6,91.6,196.5,,,
23,4.6E+12,1534,55,Male,Primary School,Married,21,34,rice,141,372.54,52.53,"8,696.31",S3,"456,801.35","8,005.90","420,535.16","36,266.19","150,917.00","51,584.00",Fully Paid,05/11/2023,??????????,???????,?????????,46120,22.9,26.6,22.1,30,16.5,31.2,28.2,27.6,23.7,26.3,20,18.3,83.5,105.2,80.4,112.6,85.6,99.6,102,80.1,176.6,129,58.3,69.1,,,
24,4.6E+12,637,29,Male,Primary School,Never Married,22,7,rice,93,372.54,34.65,"9,959.04",S1,"345,043.46","6,046.18","209,477.42","135,566.04","129,772.00","55,787.00",Fully Paid,17/10/2023,?????????,??????????????,?????????,46000,18,22.6,19.9,33.7,29.2,15.9,34.6,34.1,32.3,19.4,32.4,18.5,192.9,118.5,113.5,107.5,77.5,176.8,77.1,125.5,130.9,177.2,96.2,147.7,,,
25,4.6E+12,632,70,Male,Secondary School,Married,19,51,rice,123,372.54,45.82,"8,683.46",S2,"397,897.42","8,685.20","397,977.15",-79.73,"139,155.00","49,843.00",Current,21/04/2024,???????,???????,?????????,46120,18.3,27.8,25.6,34.6,28.5,30.4,22.1,30.5,29,34,16.5,15.1,117.1,100.6,103.7,109,163.2,118.3,57.1,52.8,123.3,181.8,56.9,51.5,,,
26,4.6E+12,633,47,Male,Bachelor Degree,Married,35,12,rice,78,372.54,29.06,"10,187.02",S2,"296,015.85","5,867.18","170,489.33","125,526.51","141,357.00","51,958.00",Fully Paid,19/03/2023,??????,??????,?????????,46150,27.5,30.5,22.8,24.9,21.1,29.3,23.9,33.1,20.5,19.7,26.8,20.5,177,195.6,74.6,138.5,130.4,63.9,139.3,194.6,133.4,184.8,114.5,55.3,,,
27,4.6E+12,25030,70,Male,Bachelor Degree,Married,20,50,rice,144,372.54,53.65,"10,015.79",S3,"537,305.03","8,842.04","474,338.33","62,966.70","152,698.00","51,994.00",Fully Paid,28/01/2023,?????????,??????????,?????????,46220,26.6,23,28.8,34.6,32,18.4,21.4,20.3,21.6,26,23.4,24.7,86.9,65,124,173.6,94.4,149,97.4,98.3,149.3,143.2,108.6,65.8,,,
28,4.6E+12,15821,65,Male,Primary School,Divorced,21,44,rice,76,372.54,28.31,"10,526.86",N,"298,047.61","7,178.65","203,249.46","94,798.15","146,433.00","58,646.00",Fully Paid,22/06/2023,???????,??????,?????????,46210,23.4,24.2,22,25.4,23.1,33.2,15.9,18.8,15.2,22.6,32.6,18.6,149.9,121.3,148.6,52.2,111.4,163.9,166.1,197.8,92.5,172.8,179.2,92.8,,,
29,4.6E+12,15879,59,Female,Primary School,Married,27,32,rice,127,372.54,47.31,"10,039.75",S3,"475,006.79","11,671.92","552,228.78","-77,221.99","138,283.00","51,743.00",Charged Off,16/06/2023,????????????,???????,?????????,46130,26.5,22.9,27.2,20.2,29,34.4,24.2,31.6,34.8,27.4,20.5,29.4,127.6,173,119.2,118.6,64.5,123.9,100.4,178.6,89.1,161.7,103.5,109,,,
30,4.6E+12,12621,37,Female,Primary School,Married,24,13,rice,53,372.54,19.74,"7,953.90",S2,"157,046.82","8,977.37","177,254.94","-20,208.12","151,856.00","56,853.00",Fully Paid,17/08/2023,?????,???????????,?????????,46110,19.9,34.5,24.2,17.4,19,25.3,24.8,15,22.7,15.5,32.1,32.7,184.5,126,197.5,168.7,155.4,98.5,105.2,96.3,110.1,94.6,184,140.1,,,
31,4.6E+12,6796,75,Male,Secondary School,Separated,29,46,rice,132,372.54,49.18,"9,597.52",S3,"471,960.90","8,646.36","425,187.46","46,773.44","137,080.00","57,295.00",Fully Paid,23/06/2023,???????,?????????,?????????,46140,24,21.9,33.5,32.1,32.5,24.8,18.9,30.4,33.5,24.8,31.8,33.2,111,160.5,54.6,158.2,158.6,172,131.2,93.9,163.1,60.3,66.3,60.6,,,
32,4.6E+12,12343,42,Male,Secondary School,Married,32,10,rice,106,372.54,39.49,"9,462.67",S1,"373,673.70","8,288.54","327,308.48","46,365.22","132,374.00","47,169.00",Fully Paid,13/02/2023,??????????,??????????????,?????????,46000,26.5,23,31.5,28.4,21.1,29.4,16.2,17.2,19.5,31.8,17.6,33.9,132.8,64.7,79,122,78.7,154.6,144.9,135,114.8,102.9,141.4,73.6,,,
33,4.6E+12,11388,64,Female,Primary School,Divorced,22,42,rice,117,372.54,43.59,"8,947.60",S3,"390,000.91","7,749.77","337,790.76","52,210.15","142,266.00","50,086.00",Fully Paid,02/06/2024,?????,??????????????,?????????,46000,33.4,22.4,34.6,15.5,18,31.4,30.7,34,23.4,33.5,29.4,24.4,90.7,127.2,66.8,146.6,149.3,112.1,121.5,70.6,163.2,84.8,151.7,60.6,,,
34,4.6E+12,1108,61,Male,Secondary School,Married,25,36,rice,54,372.54,20.12,"9,463.17",N,"190,372.17","5,988.44","120,470.51","69,901.67","135,428.00","47,968.00",Fully Paid,04/02/2024,??????,??????,?????????,46000,20.7,31.9,33.8,25.8,27.7,35,15.3,21.7,27.8,18.9,16.1,20.8,118.3,190.8,56.4,125.3,177.7,144.4,195.7,102.5,168.5,164.4,91.4,55.2,,,
35,4.6E+12,1820,63,Male,Primary School,Married,22,41,rice,76,372.54,28.31,"8,758.09",S2,"247,968.23","8,068.38","228,440.49","19,527.74","141,091.00","53,623.00",Fully Paid,17/04/2023,????,?????????,?????????,46140,22.8,29.7,29.6,18.1,25.5,19.2,23.3,24,24.9,31.2,31.2,16.8,110.3,84.3,84.2,171.7,85.3,166.8,56.9,58,107.8,66.7,163.5,166.4,,,
36,4.6E+12,11983,44,Male,Primary School,Divorced,31,13,rice,133,372.54,49.55,"8,838.49",S2,"437,928.11","7,091.22","351,354.73","86,573.38","154,584.00","47,813.00",Fully Paid,27/06/2023,????????,??????????,?????????,46220,19,18.6,16.1,25.2,20.8,23.7,25.9,15.1,15.5,23.3,31,32.6,87.3,151.6,117,121.4,163.7,177.7,148.7,106.9,116,71.6,65.5,177.6,,,
37,6.2E+12,317,62,Female,Primary School,Married,21,41,cassava,57.96,"3,114.00",180.48,"2,292.49",S3,"413,746.01","1,920.00","346,519.89","67,226.12","564,424.00","64,702.00",Fully Paid,05/05/2023,????????????,???????,?????????,62180,30,23.6,19.4,15.4,18.3,21.5,29,22.8,25,18.7,34.3,32.4,113.5,188.6,128,132.6,73.9,163.5,67.2,138.4,192.1,145.2,97.8,79.8,,,
38,6.2E+12,1756,58,Male,Primary School,Married,31,27,cassava,58,"3,176.28",184.22,"2,464.88",S2,"454,090.28","1,937.00","356,842.35","97,247.92","479,166.00","48,399.00",Fully Paid,27/02/2024,???????,??????????????,?????????,62000,30.6,22.6,27.4,22.2,33.1,25.9,23.4,33.3,31.8,23.8,24.8,34.8,94.6,64.5,89.4,189.4,173.1,180.8,91.1,57.9,108.6,120,155.5,172.3,,,
39,6.2E+12,1064,71,Male,Primary School,Married,35,36,rice,33.28,372.54,12.4,"8,537.01",S1,"105,850.82","8,203.00","101,709.39","4,141.43","518,342.00","91,967.00",Fully Paid,19/06/2023,?????,??????????,?????????,62210,22.1,15.8,26,23.6,19.8,24.9,33.8,15.6,33.5,23.4,23.6,15.3,146.9,179.3,54.6,197.1,112.6,160,140.5,188.5,179.7,53.1,138.8,135.1,,,
40,6.2E+12,318,45,Male,Secondary School,Never Married,28,17,rice,108,372.54,40.23,"9,616.42",S1,"386,910.34","7,361.98","296,204.50","90,705.84","491,349.00","74,597.00",Fully Paid,03/06/2024,?????????????,???????????,?????????,62110,21.7,34.6,22.2,29.6,31.1,21.9,19.8,16.7,31.2,25.4,31.1,23.2,172.1,101.5,128.3,58,84.6,117.2,187.6,152.3,64.3,86.7,83,102.4,,,
41,6.2E+12,1512,46,Female,Primary School,Married,24,22,rice,26,372.54,9.69,"10,367.74",S1,"100,422.41","8,888.71","86,096.49","14,325.92","471,342.00","37,254.00",Fully Paid,22/03/2024,??????,??????,?????????,62000,32.5,15,19.3,33.7,25.4,34.5,15.1,33.9,19.9,24.1,18,31.9,109.5,138.7,55.3,77.2,98.9,52.2,163.7,90.3,70.3,179.9,62.2,117.2,,,
42,6.2E+12,8765,35,Male,Primary School,Divorced,27,8,sugar cane,65,"10,300.80",669.55,656.02,N,"439,239.59","1,082.00","724,455.30","-285,215.71","501,986.00","52,166.00",Charged Off,11/03/2023,?????,??????????????,?????????,62130,31.8,24.2,28.3,15.3,17.6,33.2,20.5,17.8,31.7,15,34.8,19.2,182.2,148.9,185.9,66.8,156.3,141.7,59.2,66,196.1,170,175.8,166.9,,,
43,6.2E+12,2548,71,Male,Primary School,Separated,28,43,sugar cane,105,"10,730.00","1,126.65","1,036.87",S2,"1,168,186.27","1,030.00","1,160,449.56","7,736.71","499,536.00","68,731.00",Current,20/06/2023,??????,??????????????,?????????,62000,25.5,24.4,33.4,33.4,32.8,24.5,32.3,22.2,33.9,32.2,21.3,33.8,137.2,109.6,172.5,79,108.9,199.4,135.9,174.5,57.8,179.5,59,178.7,,,
44,4E+12,638,60,Male,Primary School,Divorced,26,34,rice,90.86,340.66,30.95,"10,455.91",S2,"323,647.96","9,632.72","298,167.12","25,480.84","45,004.00","47,582.00",Fully Paid,20/03/2024,??????,??????,???????,40170,32.8,15.8,18.2,18.7,32.9,29.6,18.6,28.2,31.4,31.4,17,28.4,115.6,57.3,83.7,138.3,114,150.5,96.2,51.8,142.4,130.1,161,90.7,,,
45,4E+12,12178,66,Female,Secondary School,Married,30,36,rice,25.26,340.66,8.61,"9,633.48",S2,"82,904.83","8,894.91","76,548.76","6,356.07","66,316.00","48,794.00",Fully Paid,22/06/2023,???????,?????,???????,40170,26.4,24.8,34.6,15.2,34.7,24.6,34.7,18,16.8,31.9,32,27.2,194.5,116.9,137.3,79.7,69.7,179.3,97.3,152.7,81.5,178,126.4,148.1,,,
46,4E+12,645,39,Male,Secondary School,Married,26,13,rice,33.11,340.66,11.28,"10,686.32",S3,"120,545.68","10,685.77","120,539.52",6.16,"67,159.00","52,670.00",Fully Paid,08/08/2023,??????,??????,???????,40320,25.4,28.9,17.1,25.7,16.1,17.5,16,31.4,15.6,17.6,21,30,107.5,65.7,66.1,110.7,55.9,193.5,60.5,112.5,181.1,142.2,183.2,158.8,,,
47,4E+12,1535,73,Male,Primary School,Married,25,48,rice,120,340.66,40.88,"9,688.25",S3,"396,048.13","5,977.41","244,351.89","151,696.24","68,217.00","57,259.00",Fully Paid,25/04/2024,????????,????????????,???????,40000,24.5,31.5,27.5,32.7,24.8,18.5,26.8,21.9,32.6,15.5,31.5,15.3,182.3,199.9,132.9,102,54.4,172.6,135.1,79.7,156.7,83.9,162.6,91.4,,,
48,4E+12,647,57,Male,Primary School,Married,28,29,rice,22,340.66,7.49,"9,708.69",S3,"72,761.98","8,212.07","61,545.55","11,216.43","86,321.00","49,724.00",Fully Paid,04/07/2023,???????,???????,???????,40150,16.2,20.8,31.6,19.1,23.2,19.7,15.1,21.6,22.6,32.6,18.3,15.5,153.9,102.8,177.8,126,115.2,142.6,80.4,65.7,191.6,64.7,189.4,167.6,,,
49,4E+12,6499,62,Male,Secondary School,Married,22,40,rice,48,340.66,16.35,"10,423.12",S1,"170,435.60","6,660.61","108,912.28","61,523.32","89,949.00","57,230.00",Fully Paid,14/08/2023,???????????,??????,???????,40140,18,30.5,28.7,23.2,26,15.3,30.8,29.7,25.8,31.5,30.2,22.2,158.8,158.2,194.4,144.4,186.2,187.2,100.2,58.5,69.4,154.8,66.1,80.1,,,
50,4E+12,658,58,Male,Secondary School,Divorced,21,37,rice,144,340.66,49.06,"9,352.38",S3,"458,781.73","6,266.69","307,412.92","151,368.81","67,201.00","54,279.00",Fully Paid,06/04/2023,???????,???????,???????,40230,16.7,15,33.9,17.5,19.3,32.4,15.3,31.8,31.9,33.7,28.5,32.5,125.2,145.6,66.6,159.8,111.4,172,118.7,159.3,158.3,187,134,117.1,,,
51,4E+12,9991,50,Male,Secondary School,Married,23,27,rice,48,340.66,16.35,"7,057.75",N,"115,406.15","9,295.45","151,996.36","-36,590.20","62,939.00","54,668.00",Current,09/02/2023,??????????????,??,???????,40120,25.5,24.8,23.1,29.9,21.7,22.3,34.1,26.4,29.3,21.3,30.9,26.3,193.4,172,144.6,183.5,99.8,124.8,57.2,148.3,95.4,187.5,117.8,157.8,,,
52,4E+12,1835,71,Female,Primary School,Married,18,53,rice,60,340.66,20.44,"8,504.47",S3,"173,828.13","5,903.14","120,657.81","53,170.31","59,618.00","52,232.00",Fully Paid,27/03/2023,????,????????????,???????,40000,28.5,21.4,30.5,30.5,29.7,24.7,25.3,25.9,29.2,18.6,35,15.7,146.6,196.4,199.7,198.4,198.4,138.7,72.5,51.2,85.5,129.3,169.8,152.9,,,
53,4E+12,654,59,Female,Secondary School,Married,26,33,rice,92,340.66,31.34,"10,148.14",S2,"318,050.16","6,625.53","207,648.85","110,401.31","85,140.00","47,742.00",Fully Paid,13/06/2023,??????,?????????,???????,40250,27.4,31.2,25.2,32.6,26.3,25.5,33.2,20.2,20.7,16.1,28.7,31.8,113.6,183.5,198.2,149.4,146.7,159.7,74.6,83.2,177.9,146.3,143.5,125.3,,,
54,4E+12,9623,47,Female,Secondary School,Divorced,28,19,rice,31,340.66,10.56,"9,104.32",S2,"96,145.82","7,659.18","80,884.53","15,261.29","51,172.00","57,645.00",Current,06/05/2023,????????,??,???????,40120,32.5,23.1,16,23.8,30.2,30.9,32.7,33.1,27.2,28.8,25.3,18.2,141,164.7,140.5,176.8,104.9,177,106.9,155.7,186.4,66.8,91.7,150.5,,,
55,2.2E+12,1015,63,Male,Primary School,Divorced,31,32,sugar cane,38.95,"10,730.00",417.95,919.87,S2,"384,460.68","1,099.00","459,327.81","-74,867.13","392,146.00","144,813.00",Charged Off,06/01/2023,??????,??????????,????????,22210,16.6,30.2,31.8,15.9,21.3,32.1,20.6,25.1,32.5,23.8,28.7,29.7,168.8,102.3,93.1,140.2,53.8,129.7,125.1,175.4,180.1,59.6,147.5,94.4,,,
56,2.2E+12,1339,55,Female,Primary School,Married,22,33,sugar cane,65.81,"10,300.80",677.86,884.03,N,"599,253.05",997,"675,828.11","-76,575.05","403,316.00","170,494.00",Charged Off,12/11/2023,????????,????????,????????,22160,32.2,23,24.8,29.3,34.2,20.2,32.4,24,24.5,29.2,17.4,17.1,129.3,161,118.5,165.8,90.7,147.4,194.5,114.3,87.2,146.2,130.3,57.1,,,
57,2.2E+12,258,42,Male,Secondary School,Never Married,27,15,sugar cane,100,"10,730.00","1,073.00",697.5,S3,"748,418.08","1,057.00","1,134,161.06","-385,742.98","369,929.00","240,820.00",Charged Off,04/02/2023,??????,???????????,????????,22140,28.2,16.4,15.3,27.6,30.2,27.3,32.7,26.3,16.1,18.1,29,22.5,52.9,154.7,69.2,166.7,65.3,58.7,162.1,72.8,102.1,91.3,50.2,57.6,,,
58,2.2E+12,1506,43,Male,Primary School,Divorced,20,23,sugar cane,111,"10,300.80","1,143.39","1,021.56",N,"1,168,040.33","1,058.00","1,209,705.42","-41,665.09","391,922.00","259,795.00",Fully Paid,29/03/2023,???????,?????????????,????????,22000,31.6,29.2,23.5,31.9,30.1,16.4,22.5,23.2,20.9,18.4,30.2,16.7,95.2,100.3,137.5,96.1,168.2,166.2,174.7,136.5,144.9,130.7,122.4,93.2,,,
59,2.2E+12,255,54,Male,Primary School,Married,30,24,sugar cane,119,"10,944.60","1,302.41","1,140.97",S2,"1,486,010.46","1,022.00","1,331,060.44","154,950.02","398,725.00","226,419.00",Fully Paid,14/08/2023,?????,?????,????????,22150,17.8,15.3,28.2,16.9,17.9,22.5,18.7,26.2,19.1,19.6,24.2,33.6,149,72.2,50.3,181.4,156.2,117.1,74.4,82,76.4,182.1,184.1,82.4,,,
60,2.2E+12,7204,60,Male,Bachelor Degree,Never Married,30,30,sugar cane,67,"11,159.20",747.67,855.57,S2,"639,684.27","1,084.00","810,470.42","-170,786.16","417,836.00","260,657.00",Charged Off,31/03/2024,???????,?????,????????,22150,18.4,21.7,32.3,17.4,28,24.1,22,17.1,22.7,20.6,19.6,15.1,93.5,59.4,79.8,56.4,188.3,149.1,162.8,117.4,168.5,122.6,185.8,62.3,,,
61,2.4E+12,268,38,Female,Secondary School,Married,24,14,cassava,65,"3,623.00",235.5,"2,370.49",S3,"558,238.78","1,894.00","446,027.53","112,211.25","304,534.00","156,555.00",Fully Paid,02/10/2024,???????,?????????,??????????,24120,33.2,17.1,32.5,15,19.4,27,20,20.4,31.8,28,22,19.4,94.7,166,92.1,145.8,80.5,111.4,68.7,115.7,181.5,123.9,63.9,130,,,
62,2.4E+12,273,34,Male,Primary School,Married,18,16,cassava,77,"3,550.54",273.39,"2,255.85",N,"616,731.49","1,904.00","520,537.57","96,193.92","312,592.00","131,431.00",Fully Paid,26/02/2023,????????,?????????????,??????????,24150,27.8,15.2,24.3,22.4,27.9,31.7,24.2,24.7,23.9,32.1,17.6,17.9,138.6,67.6,159.3,151,98,153.4,170,104.1,178.4,100.8,108,119.5,,,
63,2.4E+12,11190,57,Male,Primary School,Divorced,30,27,rice,70.28,626.2,44.01,"8,606.34",S3,"378,759.68","6,304.98","277,478.34","101,281.34","296,717.00","136,270.00",Fully Paid,27/03/2023,??????????,?????????,??????????,24120,20.6,30.1,16,34.1,23.8,23.1,20.5,30.1,28.3,29.6,22.7,29.2,135.2,152.1,53.1,112,119.3,125.1,141.8,156.9,126.3,183.8,60.7,178.6,,,
